"Time (m)",DMSO,DMSO,DMSO,FCCP,FCCP,FCCP,"BIM BH3 (10µM)","BIM BH3 (10µM)","BIM BH3 (10µM)","BID BH3 (3µM)","BID BH3 (3µM)","BID BH3 (3µM)"
0,33.37595,1.531177,3,14.45379,4.459561,3,33.42632,3.532183,3,31.76940,1.125431,3
5,40.36522,1.592525,3,14.74178,4.395910,3,36.23907,3.050240,3,36.80989,2.208864,3
10,50.38808,5.715377,3,15.68840,0.494359,3,38.38673,2.061953,3,42.85382,2.394230,3
15,57.94170,6.764001,3,16.14686,0.643002,3,38.23176,0.990824,3,46.16378,2.890314,3
20,63.68990,4.392001,3,15.94282,0.796236,3,37.11854,0.752737,3,46.99934,2.711777,3
25,69.08037,1.504641,3,15.77235,0.753954,3,35.66051,0.177544,3,45.86675,2.394288,3
30,74.04078,0.295718,3,15.62900,0.738759,3,34.07204,0.505534,3,43.09920,2.229382,3
35,78.66414,0.387934,3,15.47273,0.782822,3,32.46032,0.585626,3,39.38502,1.572819,3
40,83.21904,0.816676,3,15.25319,0.766351,3,30.82148,0.651889,3,35.45517,1.147202,3
45,87.36327,0.698452,3,14.98844,1.201409,3,29.31825,0.654103,3,31.85464,0.986325,3
50,90.52729,0.911083,3,14.82959,1.009087,3,28.07459,0.754065,3,28.88820,0.882189,3
55,92.99394,1.331685,3,14.74953,1.131539,3,26.88518,0.784419,3,26.47837,1.100909,3
60,95.31853,0.627246,3,14.66816,1.177124,3,25.73063,0.552609,3,24.55800,0.804122,3
65,97.38484,1.734139,3,14.58939,1.175422,3,24.74139,0.674810,3,23.20458,0.968608,3
70,98.46319,2.382031,3,14.51319,1.023121,3,23.84642,0.480501,3,22.27216,0.969296,3
75,98.97201,2.906771,3,14.42796,1.105998,3,23.03669,0.284508,3,21.51279,0.957089,3
80,99.43822,2.382148,3,14.33885,1.020346,3,22.33156,0.407776,3,20.87353,0.755501,3
85,99.74171,4.415935,3,14.25361,1.137347,3,21.71813,0.429359,3,20.43831,1.011288,3
90,100.00000,4.537058,3,14.16838,1.009555,3,21.18347,0.471508,3,20.16840,0.994408,3
95,99.64873,4.296845,3,14.10381,1.139422,3,20.63590,0.280671,3,19.85975,0.836184,3
100,98.91390,4.448384,3,14.06377,1.100783,3,20.09608,0.149681,3,19.53302,0.878305,3
105,98.49289,4.472303,3,13.99662,1.002038,3,19.68282,0.291076,3,19.27214,0.865553,3
110,97.90787,4.204125,3,13.91138,1.137347,3,19.34705,0.228479,3,19.02031,0.929687,3
115,96.86826,3.822013,3,13.85843,1.073553,3,18.98028,0.352573,3,18.79431,1.104187,3
120,96.00300,5.445561,3,13.80936,1.033178,3,18.68583,0.290789,3,18.65096,0.962187,3
125,95.31078,4.000468,3,13.74091,0.951847,3,18.49599,0.188184,3,18.55023,0.938436,3
130,94.22856,4.718656,3,13.67892,0.892215,3,18.24933,0.331022,3,18.37330,0.867574,3
135,93.27160,4.377712,3,13.63372,0.955927,3,17.96521,0.370488,3,18.12276,0.818851,3
140,92.64913,4.365395,3,13.60918,0.983729,3,17.73792,0.365578,3,17.93034,0.856676,3
145,91.65343,3.829960,3,13.58981,0.969641,3,17.54807,0.370788,3,17.80507,0.869878,3
150,90.61770,4.543541,3,13.54720,0.839866,3,17.35436,0.251858,3,17.66559,0.714505,3
155,89.98102,4.089732,3,13.46971,0.957089,3,17.15935,0.334031,3,17.52095,0.802495,3
160,89.40891,4.606710,3,13.38318,0.831483,3,17.00954,0.308147,3,17.37373,0.852774,3
165,88.99306,3.473475,3,13.30311,0.911388,3,16.85328,0.242410,3,17.23038,0.733851,3
170,88.60822,3.617535,3,13.24887,0.722783,3,16.67248,0.171977,3,17.14644,0.861530,3
175,88.04773,3.703805,3,13.19851,0.788659,3,16.53300,0.319049,3,17.06637,0.784596,3